old_name	new_name	reason
la_qsdot	la_qddot	mixed-precision dot at qp; the second letter names the accumulation input, which is dp for qp, not sp
la_qzasum	la_qwasum	real sum over complex data at qp; the complex companion of qp is w, not z
la_qznrm2	la_qwnrm2	real norm over complex data at qp; the complex companion of qp is w, not z
la_wdrot	la_wqrot	complex rotation with real cosine and sine at qp; the real companion of qp is q, not d
la_wdscal	la_wqscal	complex scaling by a real constant at qp; the real companion of qp is q, not d
la_qlag2s	la_qlag2d	converter from qp to the precision below, which is dp, not sp
la_qlat2s	la_qlat2d	triangular converter from qp to the precision below, which is dp, not sp
la_qzsum1	la_qwsum1	real sum over complex data at qp; the complex companion of qp is w, not z
la_wdrscl	la_wqrscl	complex vector scaled by a real reciprocal at qp; the real companion of qp is q, not d
la_wlag2c	la_wlag2z	converter from qp to the precision below, which is z, not c
la_wlat2c	la_wlat2z	triangular converter from qp to the precision below, which is z, not c
la_ilaqiag	REMOVED	unreachable misnamed copy of la_iladiag, removed before the templating
la_qlag2q	REMOVED	unreachable converter between a kind and itself, removed before the templating
la_wlag2w	REMOVED	unreachable converter between a kind and itself, removed before the templating
la_ieeeck	REFORMATTED	the only hand edit to a generated file the pipeline had not yet regenerated; fprettify spaces .not. from its operand
la_wladiv	DOCTEXT	the w copy carries an older upstream doc line than the z donor it is templated from; code identical
la_qlag2d	DOCTEXT	the q copy's doc kept the donor's upper-case DOUBLE PRECISION; code identical
la_qlat2d	DOCTEXT	the q copy's doc kept the donor's upper-case DOUBLE PRECISION; code identical
